ＫＣ,5
ＩＣ,4
原稿,5
送り,8
増し,172
日程,2
先生,39
案,3
問題,22
有り,21
上村,1
授業,3
月曜,1
限り,7
水曜,2
予定,11
ＴＡ,1
木曜,1
ＩＴ,4
アドバイザー,1
金曜,4
火曜,2
今,23
頼む,1
居る,49
段階,2
変更,9
we,6
メット,1
TINA,3
センス,1
イン,19
AIRPORT,1
分かる,43
二人,8
分,10
作り,4
前,2
交通費,1
支給,1
言う,29
御,43
話,4
思う,15
事前,1
伺い書,1
書く,9
方,17
どうでしょう,3
駄目元,1
有賀,2
願い,17
身,12
所,13
一緒,5
行く,27
呉れる,8
事,23
ホテル,9
取る,8
確認,13
上,3
仕様,4
思い,31
本厚木,1
駅,2
為る,70
ありがとうございます,28
連絡,6
直す,2
忘れる,6
更新,2
置く,19
合う,2
学籍,2
番号,2
太,1
橋,1
他,9
セミナー,3
内,6
移動,1
当たる,2
面談,1
有る,23
研究室,12
訪ねる,1
メール,9
送る,6
時間,9
時,19
頂く,18
学習,37
状況,1
管理,1
為,17
TINC,1
アン,1
ＡＰＩ,1
使う,10
ゲー,10
ミフ,10
ケイ,10
ション,10
展開,1
アプリ,1
側,2
コイン,3
決める,4
e,12
ＣＯ,7
システム,58
見る,12
フィードバック,2
閲覧者,2
回,3
評価,1
行う,12
報酬,1
与える,2
学習者,12
努力,2
達成,1
度,5
統合,2
量,1
変化,1
応ずる,2
推薦,3
機能,14
伴う,1
意欲,1
向上,4
繋がる,2
活用,3
出来る,27
長沼,4
自宅,1
到着,4
明日,10
午後,3
神奈川,2
変える,2
懇親会,2
終了,4
小松川,2
含める,3
挨拶,1
座長,1
下さる,13
コメント,3
タイミング,1
礼,1
共有,1
参考,6
伝える,3
頑張る,9
発表,13
質問,4
帰宅,2
練習,5
開始,1
これから,2
御飯,1
食べる,1
来る,9
名古屋駅,2
今新,1
幹線,2
乗り,1
名古屋,4
着く,3
後,6
向かう,1
頃,4
付ける,2
疲れ,6
パーティー,1
優秀賞,1
最優秀賞,1
選ぶ,2
経験,4
始め,4
メンバー,3
協力,8
感謝,2
御座る,7
BLUSH,1
ラーニング,7
イノベーション,4
グランプリ,4
者,6
研究,18
興味,1
負け,1
印象,1
院生,5
貰う,20
前後,5
終わる,2
プレゼン,10
仕上がり,1
事前登録,1
用,17
フォーム,1
ＵＲＬ,6
セッテ,1
グ,1
終わり,4
ベーコン,1
最終,7
スライド,22
自分,18
勘違い,5
提出,13
期限,1
今日,7
chura,7
トピック,2
判断,1
助かる,1
諸々,1
書類,1
作成,14
次第,3
締める,1
夢,1
庵,1
御免,3
柴本,3
墨,4
件名,2
今後,8
本題,1
日,20
大学院生,1
第,1
食堂,1
お金,1
当日,1
集める,2
PAL,1
ＭＳ,1
アップ,2
Together,1
一応,5
両親,1
来週,3
報告,37
図,12
送信,4
築地,2
仮眠,1
先,1
失礼,1
去年,1
タイ,2
チュ,1
ラロコン,1
大学,3
研究生,1
アンケート,1
人数,1
必要,13
性別,1
学年,2
専攻,1
問う,1
修士,1
解答,8
体調,1
共,2
引き継ぎ,1
水,2
空港,1
回答,1
考え,33
q,3
アジアン,3
ピープル,2
スピーク,1
イングリッシュ,14
ＡＳ,6
アール,5
セカンド,1
ランゲージ,1
セイム,1
ジャパン,3
フォー,6
ディス,3
Reason,2
thought,2
ザット,3
ＳＰＯ,1
KEN,1
バイ,1
HAS,3
ＥＡ,4
オブ,15
listening,11
characteristics,2
pronunciation,5
アンド,5
accent,2
ＴＨ,2
ＵＳ,7
フォーカス,1
オン,4
countries,3
THE FUTURE,1
ウッド,2
ライク,1
ツー,7
EXTEND,1
Europe,1
ＶＯ,2
ＣＥＳ,2
ＡＬ,2
コンダクト,1
バット,2
マイ,1
オピニオン,1
ＩＳ,1
difficult,1
ＳＯ,1
ＭＥ,1
ジャパニーズ,1
LEARNERS,3
CAN,3
FoLLoW,1
エスペック,1
Ally,1
ＷＨＯ,1
ENOUGH,1
motivation,1
ＳＵ,2
ＣＨ,2
beneficial,1
ラーン,1
ノット,3
オンリー,1
ローカル,2
ビコーズ,1
MAY,1
アワー,1
サポート,1
And A,1
ＣＣ,1
ENT,1
considered,1
ＤＥＰ,1
エンド,2
インディビジュアル,1
speakers,1
ザ,4
カントリー,2
ユー,2
セイ,1
ハウ,1
エバー,1
ボイス,1
USED,1
スタディー,1
s,3
experiment,2
classify,1
EAC,2
エッチ,2
フロム,1
result,1
BELIEVE,1
seemed,1
ＡＰ,1
PEAR,1
エリア,1
迷惑,1
出身校,1
新潟,1
県,1
町,1
高等学校,1
写真,2
実家,3
帰省,1
土曜,1
返る,2
待つ,1
シュノーケリング,1
遣る,10
ww,2
相談,1
生きる,1
ワット,1
重田,2
時計,1
笑い,1
鷹野,3
指導,1
御陰,1
皆,1
ほんとうに,1
昨日,3
出張,1
旅費,1
精算,1
書,3
中,8
尼崎,1
すぐつく,1
夜,1
気,3
ブルー,1
car,1
早とちり,1
仕舞い,1
明け,1
年,2
電車,2
辿り着く,1
学会,1
手伝い,1
戻る,3
アルバイト,3
シフト,2
出し,5
仕舞う,7
成る,6
プチ,1
クリスマスパーティー,1
参加,6
人,14
集合,1
CHANNEL,1
月,9
クリスマス,1
兼,2
忘年会,2
留学,2
生,3
歓迎会,1
名目,1
飲み会,1
飲む,2
予算,1
掛かる,1
程度,3
ユ,1
るーく,1
自由,1
暇,1
方向,4
切り替える,1
申し訳,2
際,5
加筆,4
部分,12
赤,1
文字,2
限定的,1
表現,6
修正,57
指摘,2
合わせ,2
タイトル,7
地域,21
発音,18
英語,29
初見,1
単語,11
文字数,1
指定,2
返信,1
必須,1
日本,7
語,4
研究会,3
申し込み,1
解禁,1
アブストラクト,4
テンプレート,2
詰まる,2
フォルダー,1
論文,13
誌,2
報告会,2
全国大会,1
種類,7
間違える,3
作る,1
物,17
差し替え,3
乗せる,1
未確認,1
構築,1
機会,1
交流,2
国,3
人々,1
仰る,2
音源,11
数,8
追加,17
残る,1
実際,5
拡張,2
随時,2
進める,1
情報,6
乗る,1
形,5
仕上げる,1
積り,3
解決,2
すま,1
Chrome,1
ディベロップメント,2
ツール,1
調子,1
知る,1
応援,2
Mega,3
続ける,1
チャンネル,7
土産,1
TADA,1
緊張,1
質疑応答,1
内容,12
的,10
意見,7
メッセージ,1
対する,8
レスポンス,3
事務的,1
無視,1
同義,1
行動,7
ソース,3
コード,4
定石,1
既存,1
着眼,1
空間,1
認識,1
力,1
ＡＲ,1
用いる,11
学門,1
教材,1
列挙,1
フィールドワーク,2
型,2
実装,14
定義,2
対象,2
桶,3
典型的,1
使用,4
例,11
定型,3
文,3
違う,1
可能性,2
場面,1
発生,1
プロジェクト,1
頻度,1
取得,2
上げる,3
意識,7
構文,1
似る,3
構成,2
イフ,1
エルス,1
予約語,2
元,6
構文解析,1
カウント,1
類似度,2
分類,2
関する,3
操作,1
関数,2
キー,1
多言語,1
絞る,1
全て,2
会話,1
動作,3
場合,6
効果,1
測る,1
動画,1
アニメーション,1
形式,1
フレームワーク,1
ソフトウェア,1
探す,4
汎用性,2
目指す,1
コスト,1
面,1
ゆう,1
プログラミング,2
ゴー,4
言語,2
バック,2
開発,3
メリット,1
特徴,13
理論的,1
提示,1
ＰＣ,1
SSD,1
換装,1
希望,1
希望者,2
受け付け,2
備品,3
購入,3
補足,1
基本的,1
買う,1
そのまま,2
私物,1
訳,2
注意,2
了解,2
申請,1
スプレット,2
シート,3
事項,1
記入,1
常識,1
越える,1
値段,4
金,4
日本標準,4
リマ,4
設定,6
延長,4
届け,5
残留,1
印刷,2
共同,1
机,2
大学院,1
村,1
Slack,1
ＩＤ,2
ディスプレー,1
ネーム,1
半角,1
英数字,1
サイト,4
応募,1
海外,1
研修,3
別,4
補填,1
今度,1
バイト,1
昼過ぎ,1
本日,1
開催,1
集まる,1
Dolphin,5
サーバー,5
アップデート,1
反映,2
解析,1
方法,10
数値,1
データ,6
調べ,3
以前,3
読む,2
自作,2
録音,16
音声,20
英単語,7
記事,2
今年,1
移す,1
作業,33
パワー,4
スペクトログラム,3
表示,7
続く,2
音響,1
分析,2
勉強,2
音声データ,1
MATLAB,1
引数,1
周波数,1
不適切,1
もう少し,1
スペクトラム,1
自体,4
抽出,3
知識,1
ウイーク,1
聞き取る,19
相関,2
実験,24
初期,2
取り込む,1
波形,1
スペクトル,1
出力,1
上記,6
同士,2
算出,11
足掛かり,1
圧縮,1
レポート,3
通り,1
上げ,4
章,4
関連,5
一通り,1
体裁,1
整える,1
書き起こし,1
頭,2
カイ,3
sympozium,2
ポスター,3
作製,2
仮,1
完成,2
ミーティング,1
現状,2
掃除,2
周辺,1
KAI,3
シンポジウム,4
見直し,3
ワード,2
ファイル,6
修士論文,1
提案,20
方式,3
ステップ,1
収集,4
Ted,1
出身地,1
スピーカー,1
出身国,1
ラベル,4
付け,3
ＵＫ,1
件,3
チャイニーズ,1
コリア,1
英訳,6
追記,3
挿入,4
直し,1
纏め,5
選定,11
一覧,4
理由,2
種,1
母音,8
含む,1
主観,1
構い,1
話す,2
発音記号,6
もつ,1
其々,8
取り急ぎ,2
個,4
自身,1
以内,1
収まる,1
短縮,1
子音,3
組み合わせ,2
組み合わせる,1
複数,1
持つ,7
選び,1
工夫,1
効率,2
引っ張る,1
見返す,1
苦手,2
混ざる,1
状態,1
再調査,1
オックスフォード,1
辞書,2
掲げる,1
定め,2
音,1
調査,2
文献,1
見付ける,1
以降,2
試し,1
向ける,1
執筆,1
概要,1
記述,6
議論,3
学生,4
ログ,1
ページ,2
稲葉,2
ＣＥ,4
渡し,2
資料,5
課題,6
卒業論文,1
研,3
背景,2
動機,1
目的,4
実験結果,1
網羅,1
抜き出し,1
枚,1
添削,1
ＳＩＳ,1
リポジトリー,1
コミット,3
ipjs,2
投稿,2
欧米,2
英国,2
比べる,1
文言,1
削除,1
現われる,2
訛り,1
連想,1
発話,3
異なる,1
アクセント,4
違い,4
やす,8
影響,1
存在,1
説明,9
照らし合わす,1
正確,1
本,2
アプローチ,1
出身,2
仮定,3
履歴,1
基づく,1
リスニング,5
支援,1
結果,2
感ずる,1
点,1
正答,9
率,9
計算,1
設計,1
パターン,10
出題,10
入れる,7
残り,1
詳細,2
プロトタイプ,7
アジア,1
限定,1
意味,1
述べる,1
調整,3
明,1
文化,1
用意,1
判定,7
フェーズ,1
知れる,3
テスト,7
略,3
移り,1
プロ,1
タイプ,1
機能拡張,1
致命的,1
バグ,1
ずれ,1
推移,2
最大,1
最小,1
平均,1
可視化,2
管理者,2
デプロイ,8
交える,1
全体的,1
ランダム,6
モード,11
バグる,1
挙動,1
戻す,1
初回,1
登録,2
入る,4
エラー,3
最初,2
オア,1
それ以降,1
全問,1
切る,2
途中,3
狂い,1
出る,1
恐れ,1
得体,1
画面,2
中途半端,1
参考文献,1
改良版,1
出,4
対応,1
オーディオ,1
再生,2
ＨＴＭＬ,1
べた書き,1
KIE,1
関係,1
以外,2
完了,1
止める,2
再度,3
始める,1
前回,2
実施,2
院,1
優先順位,1
項目,1
優先,1
表われ,2
個々,4
変わる,4
通常,1
段階的,1
流れ,1
加える,3
順,4
アルゴリズム,2
空欄,1
クリック,2
瞬間,1
処理,1
heavy,1
チェック,2
マーク,1
提供,2
具体,3
ＥＸ,2
全,2
問い,2
押す,1
スクリプト,1
ボタン,1
設置,1
聞く,1
箇所,2
開ける,1
最終的,1
風,2
思,1
信頼性,1
j,1
フォロー,1
思い付く,1
順番,1
考察,1
分ける,1
エクセル,1
下,1
大方,1
笠井,2
方々,1
以下,1
メモ,1
書き写す,1
記載,1
could,1
find,1
ドライバー,2
ＰＨＰ,5
ＮＩ,1
pdo,4
exe,1
extension,2
SQLite,3
DLL,2
インターフェース,1
extemsion,1
今回,2
パッケージ,1
インストール,1
パーミッション,2
ＷＷＷ,3
ルート,1
直下,1
ユーザー,6
実行,4
ディレクトリー,1
所有,4
所属,4
グループ,3
侭,1
デー,1
レク,1
鳥,1
権限,2
デフォルト,1
済み,1
動き,1
学生さん,2
精査,2
ＭＩＮ,2
男性,2
付く,2
決定,1
手順,2
従う,1
模擬,1
実験的,1
参照,1
地域別,2
明記,1
松岡,1
流れ図,1
pub,1
パン,1
パオ,4
依頼,2
揃う,1
ファイル名,1
人物,2
スピード,1
秒数,1
差,1
過ぎる,2
Indonesia,1
ＧＴ,1
達,1
手始め,1
サイズ,1
不具合,2
現在,1
扱い,1
期間,1
栗鼠,1
ニン,1
能力,6
ベースライン,1
安定,1
改善,1
要素,4
ファン,2
ベトナム,2
被験者,1
ゼミ,1
取り入れ,1
叩き上げ,1
階,1
運営,1
朝,1
イチ,1
フラッシュ,1
トーク,1
遅れ,4
最新版,1
導入,6
青文字,1
f,1
ank,1
ウイル,1
アフター,1
ハウス,1
コース,2
インフォメーション,2
コンピューター,2
ＳＣＩ,2
グラデュエート,2
スクール,2
エンジン,2
ＥＲＩ,2
ＮＧ,2
kanagawa,2
インスティチュート,2
テクノロジー,2
ＥＤ,2
メールアドレス,2
バージョン,1
abstruct,2
因み,1
学割,2
適用,2
割,1
引き出す,1
自由席,1
合計,7
円,11
ツイン,2
ベッド,2
交通,2
便,2
リブ・マックス,2
差分,1
カバー,1
予約,1
ダブルベッド,1
場所,2
金額,1
泊まる,2
見繕う,1
比較,1
新幹線,3
パック,2
先程,1
条件,1
往復,2
泊,3
一人,4
名古屋市,1
若干,1
乗り継ぎ,1
加味,1
プラン,1
程々,1
単体,1
税込み,1
割れる,1
新横浜,1
レフト,1
ライト,1
ARROW,1
割り引き,1
無し,1
会場,1
近く,1
国際,1
ポスターセッション,1
different,1
pronunciations,1
various,1
共著,1
次,1
審査,3
助力,2
通る,1
本当,1
準備,2
是非,1
午前中,1
ポスト,2
ランキング,4
手,1
エコ,5
主張,1
ビデオ,2
合間,1
整理,1
文章,1
化ける,2
異種,2
アプリケーション,2
間,1
進捗,5
記憶,1
サジェスト,1
因る,1
主軸,1
感じ,1
英語学習,8
ストーリー,1
スピーキング,2
ライティング,2
learinng,2
利用者,1
利用,1
それぞれに,1
総合的,3
捕らえる,3
不十分,1
仕組み,1
大筋,1
卒論,1
修論,1
方向性,1
盛り込む,1
Deep learning,1
挑戦,1
用事,1
テレビ,1
放送,1
言葉,1
位置,1
改行,1
読み,2
配る,1
欠ける,1
相手,1
受け取り,1
賛成,1
ＥＳ,1
リンク,1
ライブ,1
ＤＢ,1
ＡＥ,1
ＣＦＣ,1
ＬＴ,1
スカイプ,1
cco,1
アカウント,1
キロ,1
所為,1
pens,1
uib,1
名,1
通話,1
了承,1
今年度,1
前後期,1
厚木,1
