text,meaning
れる,受身
れ,受身
れれ,受身
れろ,受身
れよ,受身
られる,受身
られ,受身
られれ,受身
られろ,受身
られよ,受身
れる,尊敬
れ,尊敬
れれ,尊敬
れろ,尊敬
れよ,尊敬
られる,尊敬
られ,尊敬
られれ,尊敬
られろ,尊敬
られよ,尊敬
れる,自発
れ,自発
れれ,自発
れろ,自発
れよ,自発
られる,自発
られ,自発
られれ,自発
られろ,自発
られよ,自発
せる,使役
せ,使役
せれ,使役
せよ,使役
せろ,使役
させる,使役
させ,使役
させれ,使役
させよ,使役
させろ,使役
ない,打消
なかろ,打消
なかっ,打消
なく,打消
なけれ,打消
ぬ,打消
ん,打消
ず,打消
ね,打消
う,推量
よう,推量
う,意志
よう,意志
う,勧誘
よう,勧誘
まい,打消推量
まい,打消意志
たい,希望
たかろ,希望
たかっ,希望
たく,希望
たい,希望
たけれ,希望
たがる,希望
たがら,希望
たがろ,希望
たがり,希望
たがっ,希望
たがる,希望
たがれ,希望
たろ,過去
だろ,過去
た,過去
だ,過去
たら,過去
だら,過去
たろ,完了
だろ,完了
た,完了
だ,完了
たら,完了
だら,完了
たろ,存続
だろ,存続
た,存続
だ,存続
たら,存続
だら,存続
たろ,確認
だろ,確認
た,確認
だ,確認
たら,確認
だら,確認
ます,丁寧
ませ,丁寧
ましょ,丁寧
まし,丁寧
ますれ,丁寧
そうだ,様態
そうだろ,様態
そうだっ,様態
そうで,様態
そうに,様態
そうな,様態
そうなら,様態
やがら,ぞんざい
やがり,ぞんざい
やがっ,ぞんざい
やがる,ぞんざい
やがれ,ぞんざい
そうだ,伝聞
そうで,伝聞
そうだ,伝聞
そうな,伝聞
らしい,推定
らしかっ,推定
らしく,推定
らしけれ,推定
べきだ,当然
べきだろ,当然
べきだっ,当然
べきで,当然
べく,当然
べき,当然
べきな,当然
べきなら,当然
ようだ,比況
ようだろ,比況
ようだっ,比況
ようで,比況
ように,比況
ような,比況
ようなら,比況
ようだ,例示
ようだろ,例示
ようだっ,例示
ようで,例示
ように,例示
ような,例示
ようなら,例示
ようだ,推定
ようだろ,推定
ようだっ,推定
ようで,推定
ように,推定
ような,推定
ようなら,推定


だ,断定
だろ,断定
だっ,断定
で,断定
な,断定
なら,断定

です,丁寧な断定
でしょ,丁寧な断定
でし,丁寧な断定